"","yearOfRegistration","citizenship","CountryOfExploitation","value","citizenship2","citizenship_country_latitude","citizenship_country_longitude","CountryOfExploitation2","COE_country_latitude","COE_country_longitude"
"1",2002,"-99","-99",13,"-99","NaN","NaN","-99","NaN","NaN"
"2",2002,"CO","-99",74," COL","4","-72","-99","NaN","NaN"
"3",2002,"MD","-99",528," MDA","47","29","-99","NaN","NaN"
"4",2002,"MD","Y1",156," MDA","47","29","Y1","NaN","NaN"
"5",2002,"RO","-99",73," ROU","46","25","-99","NaN","NaN"
"6",2002,"RO","BA",41," ROU","46","25"," BIH","44","18"
"7",2002,"RO","MK",121," ROU","46","25"," MKD","41.8333","22"
"8",2002,"RO","Y1",40," ROU","46","25","Y1","NaN","NaN"
"9",2002,"UA","-99",14," UKR","49","32","-99","NaN","NaN"
"10",2002,"UA","MK",54," UKR","49","32"," MKD","41.8333","22"
"11",2002,"UA","Y1",15," UKR","49","32","Y1","NaN","NaN"
"12",2003,"CO","-99",37," COL","4","-72","-99","NaN","NaN"
"13",2003,"MD","-99",237," MDA","47","29","-99","NaN","NaN"
"14",2003,"RO","BA",73," ROU","46","25"," BIH","44","18"
"15",2003,"RO","MK",19," ROU","46","25"," MKD","41.8333","22"
"16",2003,"UA","BA",13," UKR","49","32"," BIH","44","18"
"17",2004,"BY","AE",12," BLR","53","28"," ARE","24","54"
"18",2004,"BY","CY",12," BLR","53","28"," CYP","35","33"
"19",2004,"BY","RU",35," BLR","53","28"," RUS","60","100"
"20",2004,"MD","-99",29," MDA","47","29","-99","NaN","NaN"
"21",2004,"MD","MD",145," MDA","47","29"," MDA","47","29"
"22",2004,"UA","RU",17," UKR","49","32"," RUS","60","100"
"23",2005,"AL","AL",45," ALB","41","20"," ALB","41","20"
"24",2005,"BG","BG",116," BGR","43","25"," BGR","43","25"
"25",2005,"BY","AE",64," BLR","53","28"," ARE","24","54"
"26",2005,"BY","PL",11," BLR","53","28"," POL","52","20"
"27",2005,"BY","RU",217," BLR","53","28"," RUS","60","100"
"28",2005,"GH","GH",514," GHA","8","-2"," GHA","8","-2"
"29",2005,"ID","MY",11," IDN","-5","120"," MYS","2.5","112.5"
"30",2005,"MD","MD",199," MDA","47","29"," MDA","47","29"
"31",2005,"RO","IT",16," ROU","46","25"," ITA","42.8333","12.8333"
"32",2005,"RO","RO",127," ROU","46","25"," ROU","46","25"
"33",2005,"TJ","TJ",45," TJK","39","71"," TJK","39","71"
"34",2005,"UA","BG",14," UKR","49","32"," BGR","43","25"
"35",2005,"UA","PL",11," UKR","49","32"," POL","52","20"
"36",2005,"UA","RU",42," UKR","49","32"," RUS","60","100"
"37",2005,"UA","TR",107," UKR","49","32"," TUR","39","35"
"38",2005,"UZ","UZ",78," UZB","41","64"," UZB","41","64"
